因子代码,曾用名,开始时间,结束时间,研发状态,因子说明,数据类型,指数及指数列名,分钟指数及指数列名,选股指数,衍生因子,更新方式,是否盘口因子,因子平滑方式,备注,因子数据分布特征,1日rankIC,5日rankIC,20日rankIC,,,,
hf_wjt_006[5-10-20],hf_wjt_006[5-10-20],2019-10-16,2019-10-30,入库,不同期间累计成交量方差比,code_min,None,None,None,否,增量,否,None,20日均值（越大越好，长期表现优于短期）,,,0.051093932,0.075248447,,,,
hf_wjt_007[5-40],hf_wjt_007[5-40],2019-10-16,2019-10-30,入库,风险模糊度VoV,code_min,None,None,None,否,增量,否,None,由于使用但股票所有分钟数据计算因子，无法对日内数据在截面上做标准化处理，越小越好,大于等于0,-0.039213842,-0.070999507,-0.098720395,,,,
hf_wjt_008[20],hf_wjt_008[20],2019-10-16,2019-10-30,入库,日内价格与成交量的负相关性,code_min,None,None,None,否,增量,否,None,20日均值（越小越好，表现为背离）,大于等于0,,-0.052585036,-0.073211117,,,,
hf_wjt_009[20],hf_wjt_009[20],2019-10-17,,测试,高频偏度,code_min,None,None,None,否,增量,否,None,20日均值（越小越好，空方收益明显）,,,,,,,,
hf_wjt_010[20],hf_wjt_010[20],2019-10-21,,舍弃,高频下行波动占比,code_min,None,None,None,否,增量,否,None,20日均值,,,,,,,,
hf_wjt_011[20],hf_wjt_011[20],2019-10-21,,舍弃,价格位移与路程之比,code_min,None,None,None,否,增量,否,None,20日均值（短期可分层，但是不单调）,,,,,,,,
hf_wjt_012[3],hf_wjt_012[3],2019-10-23,,测试,成交笔数3日均化,date_day,None,None,None,否,增量,否,None,与成交量相关性高,,,,,,,,
hf_wjt_013[],hf_wjt_013[],2020-03-02,2020-03-08,入库,量在价先因子  CORA_A,code_min,None,None,None,否,增量,否,None,,在-1到1之间,,-0.055667527,-0.072992495,,,,
hf_wjt_014[],hf_wjt_014[],2020-03-02,2020-03-08,入库,价在量先因子  CORA_R,code_min,None,None,None,否,增量,否,None,,在-1到1之间,,-0.072750329,-0.093306284,,,,
hf_wjt_015[20],hf_wjt_015[20],2020-03-02,2020-03-08,入库,优化后的量在价先因子  adj_CORA_A,code_min,None,None,None,否,增量,否,None,,在-1到1之间,,-0.03572266,-0.047337822,,,,
hf_wjt_016[20],hf_wjt_016[20],2020-03-02,2020-03-08,入库,优化后的价在量先因子  adj_CORA_R,code_min,None,None,None,否,增量,否,None,,在-1到1之间,,-0.057207384,-0.072186396,,,,
hf_wjt_017[],hf_wjt_017[],2020-03-02,2020-03-08,入库,分钟价格和分钟成交额的相关程度,code_min,None,None,None,否,增量,否,None,,在-1到1之间,,-0.045933578,-0.034317611,,,,
hf_wjt_018[20],hf_wjt_018[20],2020-03-11,,测试,APM_new因子，隔夜收益率与下午收益率差异,code_min,None,"{'000001.XSHG':['open','close']}",None,否,增量,否,None,,,0.011161009,0.010451672,0.009862909,,,,
