20200708,"	002603"
20200708,"	002607"
20200708,"	002624"
20200708,"	002625"
20200708,"	002635"
20200708,"	002640"
20200708,"	002648"
20200708,"	002653"
20200708,"	002665"
20200708,"	002670"
20200708,"	002673"
20200708,"	002690"
20200708,"	002701"
20200708,"	002709"
20200708,"	002714"
20200708,"	002736"
20200708,"	002739"
20200708,"	002745"
20200708,"	002773"
20200708,"	002797"
20200708,"	002807"
20200708,"	002812"
20200708,"	002815"
20200708,"	002818"
20200708,"	002821"
20200708,"	002831"
20200708,"	002839"
20200708,"	002841"
20200708,"	002867"
20200708,"	002901"
20200708,"	002916"
20200708,"	002920"
20200708,"	002925"
20200708,"	002926"
20200708,"	002936"
20200708,"	002938"
20200708,"	002939"
20200708,"	002941"
20200708,"	002945"
20200708,"	002946"
20200708,"	002948"
20200708,"	002957"
20200708,"	002958"
20200708,"	003816"
20200708,"	300001"
20200708,"	300002"
20200708,"	300003"
20200708,"	300009"
20200708,"	300010"
20200708,"	300012"
20200708,"	300014"
20200708,"	300015"
20200708,"	300017"
20200708,"	300024"
20200708,"	300026"
20200708,"	300033"
20200708,"	300058"
20200708,"	300059"
20200708,"	300070"
20200708,"	300072"
20200708,"	300088"
20200708,"	300113"
20200708,"	300115"
20200708,"	300122"
20200708,"	300124"
20200708,"	300133"
20200708,"	300134"
20200708,"	300136"
20200708,"	300142"
20200708,"	300144"
20200708,"	300166"
20200708,"	300168"
20200708,"	300180"
20200708,"	300182"
20200708,"	300197"
20200708,"	300207"
20200708,"	300212"
20200708,"	300244"
20200708,"	300251"
20200708,"	300253"
20200708,"	300257"
20200708,"	300271"
20200708,"	300274"
20200708,"	300285"
20200708,"	300296"
20200708,"	300315"
20200708,"	300316"
20200708,"	300324"
20200708,"	300347"
20200708,"	300357"
20200708,"	300376"
20200708,"	300408"
20200708,"	300413"
20200708,"	300418"
20200708,"	300433"
20200708,"	300459"
20200708,"	300474"
20200708,"	300482"
20200708,"	300496"
20200708,"	300498"
20200708,"	300558"
20200708,"	300595"
20200708,"	300601"
20200708,"	300618"
20200708,"	300628"
20200708,"	300630"
20200708,"	600000"
20200708,"	600004"
20200708,"	600006"
20200708,"	600008"
20200708,"	600009"
20200708,"	600010"
20200708,"	600011"
20200708,"	600015"
20200708,"	600016"
20200708,"	600017"
20200708,"	600018"
20200708,"	600019"
20200708,"	600021"
20200708,"	600022"
20200708,"	600025"
20200708,"	600026"
20200708,"	600027"
20200708,"	600028"
20200708,"	600029"
20200708,"	600030"
20200708,"	600031"
20200708,"	600036"
20200708,"	600037"
20200708,"	600038"
20200708,"	600039"
20200708,"	600048"
20200708,"	600050"
20200708,"	600053"
20200708,"	600056"
20200708,"	600058"
20200708,"	600060"
20200708,"	600061"
20200708,"	600062"
20200708,"	600064"
20200708,"	600066"
20200708,"	600068"
20200708,"	600073"
20200708,"	600079"
20200708,"	600085"
20200708,"	600089"
20200708,"	600094"
20200708,"	600104"
20200708,"	600109"
20200708,"	600111"
20200708,"	600115"
20200708,"	600118"
20200708,"	600120"
20200708,"	600125"
20200708,"	600126"
20200708,"	600132"
20200708,"	600138"
20200708,"	600141"
20200708,"	600143"
20200708,"	600153"
20200708,"	600155"
20200708,"	600158"
20200708,"	600160"
20200708,"	600161"
20200708,"	600166"
20200708,"	600167"
20200708,"	600170"
20200708,"	600171"
20200708,"	600176"
20200708,"	600177"
