         29650667 function calls (29094292 primitive calls) in 19.868 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1140    0.000    0.000    0.000    0.000 numeric.py:1233(<dictcomp>)
       76    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
      114    0.000    0.000    0.000    0.000 base.py:1542(replace)
     2055    0.000    0.000    0.000    0.000 _docscrape.py:65(eof)
     3552    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     12/5    0.000    0.000    0.000    0.000 core.py:4092(streamline)
      352    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 utils.py:11(<module>)
      8/4    0.000    0.000    0.000    0.000 functools.py:947(__get__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      198    0.000    0.000    0.000    0.000 pyplot.py:92(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.000    0.000 _page_trend_test.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:32(Connection)
        1    0.000    0.000    0.000    0.000 six.py:21(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
     1445    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      859    0.000    0.000    0.000    0.000 _colorizer.py:273(current_color_tokens)
        4    0.000    0.000    0.000    0.000 core.py:2973(re_match)
        1    0.000    0.000    0.000    0.000 sysconfig.py:426(_init_non_posix)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1130(<listcomp>)
        1    0.000    0.000    0.000    0.000 dh.py:206(DHPrivateKey)
     3420    0.000    0.000    0.000    0.000 base.py:4234(is_int)
      918    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      855    0.000    0.000    0.000    0.000 gzip.py:314(closed)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
      414    0.000    0.000    0.000    0.000 _util.py:345(<genexpr>)
        1    0.000    0.000    0.000    0.000 row.py:390(LegacyRow)
      570    0.000    0.000    0.000    0.000 base.py:7489(<listcomp>)
        4    0.000    0.000    0.000    0.000 core.py:2961(re)
        1    0.000    0.000    0.000    0.000 unicode.py:70(alphas)
     1471    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
     1140    0.000    0.000    0.000    0.000 arraylike.py:424(_standardize_out_kwarg)
     1716    0.000    0.000    0.000    0.000 concat.py:117(<setcomp>)
       25    0.000    0.000    0.000    0.000 deprecations.py:230(deprecated_params)
       18    0.000    0.000    0.000    0.000 registry.py:255(base_listen)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:3118(_fetch_setting)
       75    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
      132    0.000    0.000    0.000    0.000 ast.py:383(visit_Constant)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1933(TimelikeOps)
       11    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
       61    0.000    0.000    0.000    0.000 core.py:4349(__init__)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(pad)
     2292    0.000    0.000    0.000    0.000 concat.py:673(<genexpr>)
        1    0.000    0.000    0.000    0.000 strategy_options.py:37(Load)
        1    0.000    0.000    0.000    0.000 dml.py:905(Insert)
        4    0.000    0.000    0.000    0.000 common.py:281(_get_filepath_or_buffer)
     2282    0.000    0.000    0.000    0.000 function_base.py:5191(_insert_dispatcher)
     1140    0.000    0.000    0.000    0.000 common.py:323(is_full_slice)
        1    0.000    0.000    0.000    0.000 dml.py:1196(Update)
       13    0.000    0.000    0.000    0.000 langhelpers.py:597(format_argspec_init)
     1232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
   146/39    0.000    0.000    0.000    0.000 core.py:1862(__str__)
      492    0.000    0.000    0.000    0.000 docscrape.py:93(is_unindented)
     1140    0.000    0.000    0.000    0.000 series.py:907(axes)
        1    0.000    0.000    0.000    0.000 _handler.py:1(<module>)
        2    0.000    0.000    0.000    0.000 unicode.py:55(_chars_for_ranges)
        1    0.000    0.000    0.000    0.000 exceptions.py:6(<module>)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
       13    0.000    0.000    0.000    0.000 decl_base.py:185(__init__)
      858    0.000    0.000    0.000    0.000 _logger.py:1012(<genexpr>)
     2282    0.000    0.000    0.000    0.000 numeric.py:1406(_moveaxis_dispatcher)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
       16    0.000    0.000    0.000    0.000 arraypad.py:529(pad)
      278    0.000    0.000    0.000    0.000 inspect.py:2573(__str__)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
      463    0.000    0.000    0.000    0.000 docscrape.py:64(seek_next_non_empty_line)
        1    0.000    0.000    0.000    0.000 _plotutils.py:1(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
     6203    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       28    0.000    0.000    0.000    0.000 deprecations.py:189(deprecated_20)
        1    0.000    0.000    0.000    0.000 _realtransforms.py:1(<module>)
     2282    0.000    0.000    0.000    0.000 multiarray.py:883(bincount)
  995/993    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      140    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        1    0.000    0.000    0.000    0.000 frame.py:8257(groupby)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arg_validators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:2640(_get_default_schema_name)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connections.py:830(_request_authentication)
        1    0.000    0.000    0.000    0.000 ddl.py:38(DDLElement)
        1    0.000    0.000    0.000    0.000 legend.py:292(Legend)
      858    0.000    0.000    0.000    0.000 process.py:189(name)
       62    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      104    0.000    0.000    0.000    0.000 _collections.py:364(__init__)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:2280(Figure)
        1    0.000    0.000    0.000    0.000 artist.py:1383(ArtistInspector)
        1    0.000    0.000    0.000    0.000 reflection.py:60(Inspector)
      570    0.000    0.000    0.000    0.000 api.py:346(<setcomp>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
      986    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
     2280    0.000    0.000    0.000    0.000 arraylike.py:290(<genexpr>)
     1170    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
        1    0.000    0.000    0.000    0.000 visitors.py:8(<module>)
        1    0.000    0.000    0.000    0.000 type_api.py:8(<module>)
       82    0.000    0.000    0.000    0.000 __init__.py:251(make_alias)
        1    0.000    0.000    0.000    0.000 roles.py:8(<module>)
     4533    0.000    0.000    0.000    0.000 inspect.py:2857(parameters)
       20    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
      643    0.000    0.000    0.000    0.000 _docscrape.py:91(peek)
      571    0.000    0.000    0.000    0.000 common.py:178(not_none)
        6    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
        1    0.000    0.000    0.000    0.000 markers.py:156(MarkerStyle)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       58    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
       50    0.000    0.000    0.000    0.000 core.py:130(get_object_signature)
        1    0.000    0.000    0.000    0.000 __init__.py:330(<listcomp>)
      119    0.000    0.000    0.000    0.000 _collections.py:829(to_list)
       55    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
       20    0.000    0.000    0.000    0.000 utils.py:129(_get_indent)
      144    0.000    0.000    0.000    0.000 _docscrape.py:453(_str_param_list)
       52    0.000    0.000    0.000    0.000 core.py:887(__init__)
      570    0.000    0.000    0.000    0.000 datetimelike.py:927(freq)
      322    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.000    0.000 {pandas._libs.missing.isnaobj2d}
        1    0.000    0.000    0.000    0.000 sqltypes.py:126(String)
        2    0.000    0.000    0.000    0.000 groupby.py:916(__init__)
        1    0.000    0.000    0.000    0.000 base.py:2507(_parse_server_version)
        1    0.000    0.000    0.000    0.000 _normalize.py:3(<module>)
     2281    0.000    0.000    0.000    0.000 indexing.py:1128(_has_valid_setitem_indexer)
        1    0.000    0.000    0.000    0.000 connections.py:1053(_get_server_information)
        1    0.000    0.000    0.000    0.000 lambdas.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _relative_risk.py:2(<module>)
      286    0.000    0.000    0.000    0.000 range.py:248(start)
        1    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:62(__init__)
     2410    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      165    0.000    0.000    0.000    0.000 visitors.py:48(_generate_compiler_dispatch)
        1    0.000    0.000    0.000    0.000 ansitowin32.py:72(AnsiToWin32)
        1    0.000    0.000    0.000    0.000 dtypes.py:1043(IntervalDtype)
        1    0.000    0.000    0.000    0.000 metadata.py:41(EntryPoint)
      858    0.000    0.000    0.000    0.000 {method 'tzname' of 'datetime.timezone' objects}
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
        9    0.000    0.000    0.000    0.000 _multivariate.py:5506(_docfill)
       13    0.000    0.000    0.000    0.000 clsregistry.py:32(add_class)
     1893    0.000    0.000    0.000    0.000 _docscrape.py:44(__getitem__)
     1288    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1712    0.000    0.000    0.000    0.000 common.py:182(<genexpr>)
      858    0.000    0.000    0.000    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
        1    0.000    0.000    0.000    0.000 _colorizer.py:1(<module>)
       55    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(_legacy_get_spec)
      142    0.000    0.000    0.000    0.000 langhelpers.py:1524(__new__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 connections.py:442(_read_ok_packet)
        1    0.000    0.000    0.000    0.000 _decorators.py:22(deprecate)
        1    0.000    0.000    0.000    0.000 context.py:7(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:204(Line2D)
       19    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
       52    0.000    0.000    0.000    0.000 common.py:33(wrapper)
     1301    0.000    0.000    0.000    0.000 _docscrape.py:81(is_empty)
     1792    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      285    0.000    0.000    0.000    0.000 blocks.py:276(__len__)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:703(get_grouper)
        1    0.000    0.000    0.000    0.000 selectable.py:3387(DeprecatedSelectBaseGenerations)
        2    0.000    0.000    0.000    0.000 generic.py:11600(_add_numeric_operations)
      104    0.000    0.000    0.000    0.000 decl_base.py:68(_get_immediate_cls_attr)
        1    0.000    0.000    0.000    0.000 naming.py:8(<module>)
      126    0.000    0.000    0.000    0.000 mapper.py:2005(_log)
     1934    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 colors.py:1579(make_norm_from_scale)
       13    0.000    0.000    0.000    0.000 decl_base.py:772(_extract_declared_columns)
        1    0.000    0.000    0.000    0.000 accessors.py:1(<module>)
       16    0.000    0.000    0.000    0.000 log.py:62(class_logger)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 schema.py:170(Table)
        1    0.000    0.000    0.000    0.000 util.py:9(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1588(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
       13    0.000    0.000    0.000    0.000 instrumentation.py:512(create_manager_for_cls)
     3750    0.000    0.000    0.000    0.000 inspect.py:2543(default)
      100    0.000    0.000    0.000    0.000 instrumentation.py:302(instrument_attribute)
     1429    0.000    0.000    0.000    0.000 weakref.py:422(__contains__)
       52    0.000    0.000    0.000    0.000 common.py:39(_unpack_zerodim_and_defer)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6801(__init__)
        2    0.000    0.000    0.000    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 masked.py:92(BaseMaskedArray)
        1    0.000    0.000    0.000    0.000 unicode.py:3(<module>)
        6    0.000    0.000    0.000    0.000 connections.py:1298(_get_descriptions)
       33    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        1    0.000    0.000    0.000    0.000 glob.py:10(glob)
      480    0.000    0.000    0.000    0.000 inspect.py:1720(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 platform.py:358(win32_ver)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
      543    0.000    0.000    0.000    0.000 langhelpers.py:929(iterate_attributes)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        2    0.000    0.000    0.000    0.000 glob.py:41(_iglob)
       13    0.000    0.000    0.000    0.000 pathlib.py:1038(__new__)
       26    0.000    0.000    0.000    0.000 core.py:6806(getdoc)
        1    0.000    0.000    0.000    0.000 sqltypes.py:1235(Enum)
      191    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      285    0.000    0.000    0.000    0.000 _compression.py:12(_check_not_closed)
        1    0.000    0.000    0.000    0.000 elements.py:607(ColumnElement)
        1    0.000    0.000    0.000    0.000 elements.py:504(_compile_w_cache)
      616    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 _oid.py:5(<module>)
       13    0.000    0.000    0.000    0.000 events.py:215(_listen)
      285    0.000    0.000    0.000    0.000 numeric.py:382(_engine_type)
       91    0.000    0.000    0.000    0.000 _collections.py:782(unique_list)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      160    0.000    0.000    0.000    0.000 inspect.py:1838(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 schema.py:4373(MetaData)
        7    0.000    0.000    0.000    0.000 typing.py:1593(<listcomp>)
       16    0.000    0.000    0.000    0.000 core.py:1526(__or__)
      385    0.000    0.000    0.000    0.000 _util.py:340(<listcomp>)
      642    0.000    0.000    0.000    0.000 base.py:237(manager_of_class)
        1    0.000    0.000    0.000    0.000 dtypes.py:628(DatetimeTZDtype)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
     1002    0.000    0.000    0.000    0.000 docscrape.py:87(is_empty)
      385    0.000    0.000    0.000    0.000 _util.py:335(<listcomp>)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:4033(get_distribution_names)
        1    0.000    0.000    0.000    0.000 colorbar.py:199(Colorbar)
       13    0.000    0.000    0.000    0.000 instrumentation.py:83(__init__)
        1    0.000    0.000    0.000    0.000 default.py:51(DefaultDialect)
        1    0.000    0.000    0.000    0.000 functions.py:69(FunctionElement)
      616    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      385    0.000    0.000    0.000    0.000 _util.py:357(<dictcomp>)
        1    0.000    0.000    0.000    0.000 mysqldb.py:137(__init__)
       13    0.000    0.000    0.000    0.000 decl_base.py:703(_extract_mappable_attributes)
      277    0.000    0.000    0.000    0.000 results.py:136(__new__)
       52    0.000    0.000    0.000    0.000 accessor.py:119(_forbid_nonstring_types)
      570    0.000    0.000    0.000    0.000 concat.py:702(_maybe_check_integrity)
        1    0.000    0.000    0.000    0.000 glob.py:81(_glob1)
        9    0.000    0.000    0.000    0.000 common.py:293(maybe_iterable_to_list)
        6    0.000    0.000    0.000    0.000 rcsetup.py:269(validate_color_or_inherit)
     1170    0.000    0.000    0.000    0.000 fromnumeric.py:3117(_ndim_dispatcher)
       82    0.000    0.000    0.000    0.000 core.py:2266(__init__)
       24    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
        3    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1735(__new__)
        1    0.000    0.000    0.000    0.000 expression.py:1(<module>)
       24    0.000    0.000    0.000    0.000 core.py:3903(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 default.py:1452(_setup_result_proxy)
      152    0.000    0.000    0.000    0.000 langhelpers.py:1110(__get__)
        1    0.000    0.000    0.000    0.000 ewm.py:141(ExponentialMovingWindow)
      285    0.000    0.000    0.000    0.000 managers.py:1226(value_getitem)
      178    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      247    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 api.py:159(decorate)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:3518(_intersection)
        3    0.000    0.000    0.000    0.000 collections.py:906(_instrument_class)
        2    0.000    0.000    0.000    0.000 base.py:1527(_format_native_types)
        4    0.000    0.000    0.000    0.000 common.py:133(__exit__)
       75    0.000    0.000    0.000    0.000 rcsetup.py:91(<listcomp>)
      333    0.000    0.000    0.000    0.000 _docscrape.py:87(is_unindented)
        1    0.000    0.000    0.000    0.000 expressions.py:11(<module>)
       28    0.000    0.000    0.000    0.000 core.py:2915(__init__)
        1    0.000    0.000    0.000    0.000 instrumentation.py:47(ClassManager)
      271    0.000    0.000    0.000    0.000 langhelpers.py:206(_update_argspec_defaults_into_env)
      286    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool_list}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2882(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
      176    0.000    0.000    0.000    0.000 langhelpers.py:87(walk_subclasses)
      128    0.000    0.000    0.000    0.000 typing.py:685(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:302(collection)
       29    0.000    0.000    0.000    0.000 pathlib.py:531(_select_from)
      575    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        4    0.000    0.000    0.000    0.000 default.py:1528(_setup_dml_or_text_result)
      286    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 generic.py:776(DataFrameGroupBy)
      572    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        4    0.000    0.000    0.000    0.000 common.py:113(close)
      397    0.000    0.000    0.000    0.000 docscrape.py:97(peek)
     1140    0.000    0.000    0.000    0.000 series.py:4838(_needs_reindex_multi)
        1    0.000    0.000    0.000    0.000 grouper.py:650(group_index)
       13    0.000    0.000    0.000    0.000 pathlib.py:677(_from_parts)
        1    0.000    0.000    0.000    0.000 _colorizer.py:71(AnsiParser)
       15    0.000    0.000    0.000    0.000 enum.py:927(__or__)
       75    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
     1796    0.000    0.000    0.000    0.000 docscrape.py:50(__getitem__)
     1030    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       37    0.000    0.000    0.000    0.000 transforms.py:1319(__init_subclass__)
      958    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      385    0.000    0.000    0.000    0.000 _util.py:350(<listcomp>)
      390    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
      464    0.000    0.000    0.000    0.000 __init__.py:658(__getitem__)
      385    0.000    0.000    0.000    0.000 _util.py:354(<dictcomp>)
     1140    0.000    0.000    0.000    0.000 numeric.py:1142(_roll_dispatcher)
        1    0.000    0.000    0.000    0.000 selectable.py:3020(SelectBase)
       16    0.000    0.000    0.000    0.000 core.py:4084(__init__)
       14    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
       50    0.000    0.000    0.000    0.000 __init__.py:1331(_fixupParents)
        9    0.000    0.000    0.000    0.000 accessor.py:142(add_delegate_accessors)
        2    0.000    0.000    0.000    0.000 construction.py:589(_homogenize)
        1    0.000    0.000    0.000    0.000 axis3d.py:53(Axis)
      147    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        1    0.000    0.000    0.000    0.000 base.py:3175(_detect_sql_mode)
       11    0.000    0.000    0.000    0.000 nanops.py:75(__init__)
        1    0.000    0.000    0.000    0.000 dml.py:15(Insert)
        4    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 tracemalloc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2896(RectangleSelector)
      140    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
      660    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
        1    0.000    0.000    0.000    0.000 utils.py:119(_init_num_threads)
      114    0.000    0.000    0.000    0.000 coercions.py:112(expect)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      187    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        3    0.000    0.000    0.000    0.000 _util.py:1(<module>)
      125    0.000    0.000    0.000    0.000 typing.py:830(<genexpr>)
      785    0.000    0.000    0.000    0.000 __init__.py:889(<lambda>)
       26    0.000    0.000    0.000    0.000 decl_base.py:670(_produce_column_copies)
      166    0.000    0.000    0.000    0.000 cm.py:85(__getitem__)
       35    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
        1    0.000    0.000    0.000    0.000 patches.py:25(Patch)
        4    0.000    0.000    0.000    0.000 core.py:1437(__mul__)
       13    0.000    0.000    0.000    0.000 schema.py:4006(_set_parent)
        9    0.000    0.000    0.000    0.000 accessor.py:59(_add_delegate_accessors)
        4    0.000    0.000    0.000    0.000 cursor.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 base.py:3138(_detect_casing)
        1    0.000    0.000    0.000    0.000 algorithms.py:6(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
     1140    0.000    0.000    0.000    0.000 base.py:148(is_consolidated)
        1    0.000    0.000    0.000    0.000 dml.py:596(ValuesBase)
        4    0.000    0.000    0.000    0.000 iterative.py:120(combine)
       81    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 config.py:10(__init__)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      574    0.000    0.000    0.000    0.000 base.py:730(_constructor)
        1    0.000    0.000    0.000    0.000 rrule.py:2(<module>)
     1140    0.000    0.000    0.000    0.000 multiarray.py:80(empty_like)
       13    0.000    0.000    0.000    0.000 util.py:237(find_tables)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
      286    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      128    0.000    0.000    0.000    0.000 expr.py:192(<genexpr>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:679(read)
       25    0.000    0.000    0.000    0.000 core.py:5368(__init__)
        1    0.000    0.000    0.000    0.000 _fit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:4130(FancyArrowPatch)
       29    0.000    0.000    0.000    0.000 nanops.py:77(<genexpr>)
        5    0.000    0.000    0.000    0.000 langhelpers.py:1837(decorate)
       32    0.000    0.000    0.000    0.000 __init__.py:625(__init__)
       38    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
       21    0.000    0.000    0.000    0.000 pathlib.py:657(_parse_args)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1705(Parser)
        1    0.000    0.000    0.000    0.000 arraylike.py:34(OpsMixin)
        1    0.000    0.000    0.000    0.000 mysqldb.py:145(_parse_dbapi_version)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
      263    0.000    0.000    0.000    0.000 {method 'get_function' of 'pyarrow._compute.FunctionRegistry' objects}
      402    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 dml.py:235(UpdateBase)
      132    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       14    0.000    0.000    0.000    0.000 extension.py:128(wrapper)
        1    0.000    0.000    0.000    0.000 interval.py:147(IntervalIndex)
       23    0.000    0.000    0.000    0.000 overrides.py:200(decorator)
        1    0.000    0.000    0.000    0.000 ansi.py:2(<module>)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
       85    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
        1    0.000    0.000    0.000    0.000 descriptor_props.py:8(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
      285    0.000    0.000    0.000    0.000 managers.py:260(_clear_reference_block)
       15    0.000    0.000    0.000    0.000 attr.py:412(append)
      169    0.000    0.000    0.000    0.000 decl_base.py:105(_dive_for_cls_manager)
      873    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       18    0.000    0.000    0.000    0.000 registry.py:67(_stored_in_collection)
        1    0.000    0.000    0.000    0.000 patches.py:4473(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 results.py:2(<module>)
      100    0.000    0.000    0.000    0.000 attributes.py:101(__init__)
       26    0.000    0.000    0.000    0.000 _collections.py:425(intersection)
     1433    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:734(_get_scale_docs)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 connections.py:433(autocommit)
        1    0.000    0.000    0.000    0.000 utils.py:101(set_num_threads)
      569    0.000    0.000    0.000    0.000 decl_base.py:134(_is_declarative_props)
        1    0.000    0.000    0.000    0.000 unitofwork.py:8(<module>)
        3    0.000    0.000    0.000    0.000 deprecations.py:339(_decorate_cls_with_warning)
        1    0.000    0.000    0.000    0.000 {built-in method numexpr.interpreter._set_num_threads}
       35    0.000    0.000    0.000    0.000 core.py:2315(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 connections.py:450(_send_autocommit_mode)
       13    0.000    0.000    0.000    0.000 visitors.py:697(traverse)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      116    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 text.py:108(Text)
        1    0.000    0.000    0.000    0.000 base.py:3545(_intersection_via_get_indexer)
        6    0.000    0.000    0.000    0.000 dataclasses.py:768(_hash_add)
