         29650667 function calls (29094292 primitive calls) in 19.868 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9610    0.009    0.000    0.441    0.000 blocks.py:356(reduce)
     7085    0.024    0.000    0.432    0.000 base.py:1316(_arith_method)
        1    0.000    0.000    0.419    0.419 base_factor.py:3(<module>)
     9610    0.006    0.000    0.406    0.000 missing.py:357(notna)
    14416    0.020    0.000    0.403    0.000 indexing.py:1593(_getitem_axis)
     9610    0.009    0.000    0.394    0.000 frame.py:10841(blk_func)
     9611    0.023    0.000    0.385    0.000 nanops.py:83(_f)
    79458    0.020    0.000    0.375    0.000 gzip.py:505(_add_read_data)
      285    0.004    0.000    0.361    0.001 access.py:76(field_mapping)
    80028    0.353    0.000    0.353    0.000 {built-in method zlib.crc32}
     9895    0.007    0.000    0.327    0.000 managers.py:445(astype)
     5090    0.008    0.000    0.318    0.000 indexing.py:912(_getitem_tuple_same_dim)
      570    0.006    0.000    0.301    0.001 concat.py:390(__init__)
    84233    0.072    0.000    0.290    0.000 blocks.py:2169(new_block)
        1    0.000    0.000    0.290    0.290 visualization.py:3(<module>)
     4805    0.002    0.000    0.289    0.000 arraylike.py:125(__truediv__)
      570    0.001    0.000    0.287    0.001 concat.py:632(_get_new_axes)
      570    0.001    0.000    0.286    0.001 concat.py:634(<listcomp>)
        1    0.000    0.000    0.286    0.286 plotting.py:1(<module>)
     9611    0.009    0.000    0.286    0.000 nanops.py:403(new_func)
     9895    0.014    0.000    0.285    0.000 blocks.py:505(astype)
     7656    0.011    0.000    0.279    0.000 series.py:3197(_construct_result)
     9611    0.014    0.000    0.277    0.000 nanops.py:469(newfunc)
     4806    0.003    0.000    0.266    0.000 arraylike.py:57(__gt__)
    24901    0.092    0.000    0.265    0.000 base.py:494(find)
    34559    0.070    0.000    0.264    0.000 construction.py:494(sanitize_array)
     9611    0.014    0.000    0.264    0.000 nanops.py:588(nansum)
   109510    0.151    0.000    0.260    0.000 generic.py:5849(__finalize__)
     5945    0.018    0.000    0.259    0.000 generic.py:5049(reindex)
      570    0.001    0.000    0.257    0.000 concat.py:649(_get_concat_axis)
      570    0.001    0.000    0.255    0.000 concat.py:709(_concat_indexes)
      570    0.001    0.000    0.255    0.000 base.py:5415(append)
    13602    0.029    0.000    0.254    0.000 frame.py:3701(_ixs)
      570    0.001    0.000    0.253    0.000 base.py:5445(_concat)
39669/30059    0.010    0.000    0.250    0.000 missing.py:108(isna)
     1716    0.005    0.000    0.248    0.000 concat.py:72(concat_compat)
     5090    0.008    0.000    0.245    0.000 generic.py:6050(dtypes)
39669/30059    0.023    0.000    0.243    0.000 missing.py:191(_isna)
    24026    0.014    0.000    0.240    0.000 blocks.py:346(apply)
        1    0.000    0.000    0.240    0.240 _stats_py.py:19(<module>)
   688459    0.100    0.000    0.240    0.000 generic.py:45(_instancecheck)
3626/3461    0.028    0.000    0.239    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.239    0.040 connections.py:1233(_read_result_packet)
        6    0.017    0.003    0.239    0.040 connections.py:1266(_read_rowdata_packet)
   103938    0.079    0.000    0.234    0.000 generic.py:5909(__setattr__)
     4805    0.009    0.000    0.229    0.000 indexing.py:1562(_getitem_tuple)
     4805    0.006    0.000    0.228    0.000 frame.py:7568(_cmp_method)
     9895    0.013    0.000    0.227    0.000 astype.py:239(astype_array_safe)
3186600/2886771    0.183    0.000    0.226    0.000 {built-in method builtins.len}
     2282    0.009    0.000    0.224    0.000 managers.py:1373(insert)
     1141    0.004    0.000    0.221    0.000 indexing.py:706(_maybe_mask_setitem_value)
       11    0.000    0.000    0.220    0.020 __init__.py:8(<module>)
     1232    0.006    0.000    0.220    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     1471    0.006    0.000    0.216    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     5542    0.001    0.000    0.211    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     5560    0.211    0.000    0.211    0.000 {built-in method nt.stat}
     1140    0.008    0.000    0.207    0.000 indexing.py:2198(_align_series)
     1445    0.001    0.000    0.205    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
1447/1445    0.002    0.000    0.204    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      285    0.001    0.000    0.197    0.001 frame.py:4130(_iset_item_mgr)
        1    0.000    0.000    0.195    0.195 pyplot.py:4(<module>)
     9611    0.015    0.000    0.194    0.000 generic.py:1515(__invert__)
   124500    0.111    0.000    0.191    0.000 generic.py:260(__init__)
     5376    0.014    0.000    0.189    0.000 array_ops.py:231(comparison_op)
     2262    0.008    0.000    0.188    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      571    0.002    0.000    0.184    0.000 frame.py:3830(_getitem_bool_array)
    73795    0.040    0.000    0.181    0.000 frame.py:608(__init__)
     9610    0.043    0.000    0.180    0.000 managers.py:570(_combine)
      573    0.002    0.000    0.179    0.000 generic.py:3874(_take)
        9    0.000    0.000    0.176    0.020 api.py:1(<module>)
    49478    0.017    0.000    0.172    0.000 blocks.py:222(make_block)
      572    0.001    0.000    0.172    0.000 generic.py:3895(_take_with_is_copy)
     4805    0.029    0.000    0.172    0.000 blocks.py:1051(where)
     1999    0.006    0.000    0.171    0.000 managers.py:682(reindex_indexer)
     1425    0.017    0.000    0.170    0.000 managers.py:1169(iset)
     4805    0.013    0.000    0.165    0.000 frame.py:7591(_dispatch_frame_op)
      285    0.003    0.000    0.165    0.001 indexing.py:1245(_getitem_tuple)
     2280    0.001    0.000    0.165    0.000 arraylike.py:109(__sub__)
     9610    0.011    0.000    0.165    0.000 frame.py:6369(isna)
    11035    0.022    0.000    0.164    0.000 generic.py:5337(_reindex_with_indexers)
132926/128121    0.037    0.000    0.163    0.000 {built-in method builtins.all}
    20742    0.010    0.000    0.163    0.000 common.py:1434(is_extension_array_dtype)
     3430    0.013    0.000    0.162    0.000 base.py:710(_with_infer)
     2282    0.009    0.000    0.161    0.000 base.py:6882(insert)
      285    0.001    0.000    0.153    0.001 indexing.py:1277(_getitem_axis)
      571    0.004    0.000    0.153    0.000 series.py:6236(_cmp_method)
     1140    0.002    0.000    0.151    0.000 series.py:5080(reindex)
     4805    0.003    0.000    0.150    0.000 _decorators.py:328(wrapper)
      285    0.001    0.000    0.150    0.001 indexing.py:1214(_getitem_iterable)
    26784    0.024    0.000    0.149    0.000 common.py:1752(pandas_dtype)
     4805    0.008    0.000    0.147    0.000 frame.py:5178(reindex)
        1    0.000    0.000    0.147    0.147 process.py:3(<module>)
     4806    0.006    0.000    0.146    0.000 indexing.py:1630(_get_slice_axis)
     5093    0.009    0.000    0.145    0.000 generic.py:6263(copy)
    12475    0.017    0.000    0.137    0.000 base.py:7434(_maybe_cast_data_without_dtype)
   689604    0.095    0.000    0.136    0.000 generic.py:40(_check)
      285    0.001    0.000    0.134    0.000 blocks.py:1917(delete)
      570    0.001    0.000    0.133    0.000 <__array_function__ internals>:177(delete)
      573    0.002    0.000    0.133    0.000 managers.py:935(take)
     4806    0.010    0.000    0.132    0.000 generic.py:4098(_slice)
      570    0.065    0.000    0.131    0.000 function_base.py:4999(delete)
    84018    0.062    0.000    0.130    0.000 gzip.py:85(read)
        1    0.000    0.000    0.129    0.129 timeutils.py:3(<module>)
        1    0.000    0.000    0.128    0.128 dao.py:4(<module>)
    15341    0.089    0.000    0.128    0.000 {pandas._libs.lib.maybe_convert_objects}
     1140    0.002    0.000    0.123    0.000 generic.py:5298(_reindex_axes)
     4805    0.003    0.000    0.123    0.000 frame.py:5068(align)
     2567    0.047    0.000    0.122    0.000 generic.py:4138(_check_setitem_copy)
     9610    0.005    0.000    0.122    0.000 base.py:141(isna)
   159439    0.091    0.000    0.121    0.000 ntpath.py:124(splitdrive)
     4805    0.007    0.000    0.119    0.000 generic.py:9278(align)
    33208    0.010    0.000    0.118    0.000 config.py:263(__call__)
        8    0.000    0.000    0.118    0.015 __init__.py:2(<module>)
  172/119    0.000    0.000    0.118    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
  172/119    0.016    0.000    0.118    0.001 {built-in method _imp.exec_dynamic}
    76483    0.038    0.000    0.117    0.000 series.py:662(name)
     3140    0.005    0.000    0.117    0.000 blocks.py:860(take_nd)
      102    0.000    0.000    0.116    0.001 artist.py:129(_update_set_signature_and_docstring)
    63720    0.017    0.000    0.116    0.000 construction.py:400(extract_array)
     5093    0.010    0.000    0.115    0.000 managers.py:612(copy)
    23499    0.017    0.000    0.115    0.000 managers.py:1908(from_array)
      858    0.019    0.000    0.115    0.000 _logger.py:1847(_log)
        1    0.000    0.000    0.115    0.115 distributions.py:8(<module>)
     9611    0.013    0.000    0.115    0.000 nanops.py:1453(_maybe_null_out)
      101    0.000    0.000    0.114    0.001 artist.py:105(__init_subclass__)
     3715    0.004    0.000    0.112    0.000 take.py:57(take_nd)
     1716    0.008    0.000    0.112    0.000 base.py:3886(get_indexer)
    33209    0.016    0.000    0.109    0.000 config.py:135(_get_option)
    75630    0.033    0.000    0.108    0.000 {built-in method builtins.any}
     4805    0.013    0.000    0.107    0.000 generic.py:9471(_align_frame)
     3715    0.008    0.000    0.107    0.000 take.py:120(_take_nd_ndarray)
      571    0.001    0.000    0.104    0.000 array_ops.py:60(comp_method_OBJECT_ARRAY)
     6232    0.018    0.000    0.103    0.000 managers.py:765(_slice_take_blocks_ax0)
      571    0.101    0.000    0.101    0.000 {pandas._libs.ops.scalar_compare}
1433/1429    0.001    0.000    0.101    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    40764    0.100    0.000    0.100    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4805    0.003    0.000    0.100    0.000 frame.py:5616(fillna)
        1    0.000    0.000    0.098    0.098 figure.py:1(<module>)
     4805    0.014    0.000    0.097    0.000 generic.py:6679(fillna)
      285    0.001    0.000    0.097    0.000 indexing.py:1407(_get_listlike_indexer)
    32754    0.096    0.000    0.096    0.000 {built-in method numpy.empty}
      286    0.002    0.000    0.096    0.000 base.py:6094(_get_indexer_strict)
    98128    0.052    0.000    0.095    0.000 blocks.py:2088(maybe_coerce_values)
    24026    0.011    0.000    0.094    0.000 blocks.py:377(_split_op_result)
      115    0.000    0.000    0.092    0.001 artist.py:1804(kwdoc)
     1426    0.004    0.000    0.092    0.000 base.py:4358(reindex)
        1    0.000    0.000    0.091    0.091 ops.py:792(_get_splitter)
        1    0.000    0.000    0.091    0.091 ops.py:945(group_info)
        1    0.000    0.000    0.091    0.091 ops.py:967(_get_compressed_codes)
        1    0.000    0.000    0.091    0.091 grouper.py:616(codes)
        1    0.000    0.000    0.091    0.091 grouper.py:659(_codes_and_uniques)
        1    0.002    0.002    0.091    0.091 algorithms.py:596(factorize)
     9612    0.019    0.000    0.089    0.000 nanops.py:261(_get_values)
        1    0.000    0.000    0.087    0.087 algorithms.py:522(factorize_array)
    44156    0.039    0.000    0.087    0.000 _ufunc_config.py:32(seterr)
    11890    0.013    0.000    0.086    0.000 array_ops.py:136(_na_arithmetic_op)
    16128    0.006    0.000    0.085    0.000 generic.py:5978(_consolidate_inplace)
     1232    0.008    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      172    0.000    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
      172    0.082    0.000    0.084    0.000 {built-in method _imp.create_dynamic}
   124785    0.080    0.000    0.081    0.000 flags.py:49(__init__)
    77055    0.021    0.000    0.080    0.000 common.py:1726(validate_all_hashable)
   993879    0.076    0.000    0.080    0.000 {built-in method builtins.getattr}
     4806    0.004    0.000    0.079    0.000 ops.py:1322(__iter__)
    16128    0.011    0.000    0.079    0.000 generic.py:5964(_protect_consolidate)
      115    0.002    0.000    0.078    0.001 artist.py:1565(pprint_setters)
     9895    0.008    0.000    0.078    0.000 astype.py:192(astype_array)
      286    0.002    0.000    0.078    0.000 frame.py:6120(reset_index)
   217690    0.064    0.000    0.078    0.000 base.py:229(construct_from_string)
211493/210619    0.026    0.000    0.078    0.000 {built-in method builtins.hasattr}
     2281    0.008    0.000    0.077    0.000 indexing.py:673(_get_setitem_indexer)
        1    0.000    0.000    0.077    0.077 colorbar.py:1(<module>)
     9610    0.006    0.000    0.077    0.000 generic.py:688(size)
      572    0.001    0.000    0.077    0.000 managers.py:743(<listcomp>)
     1232    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
   127816    0.038    0.000    0.077    0.000 common.py:1592(_is_dtype_type)
    32715    0.023    0.000    0.076    0.000 connections.py:1279(_read_row_from_packet)
    10470    0.023    0.000    0.076    0.000 base.py:1170(take)
     6557    0.006    0.000    0.076    0.000 frame.py:4264(_get_item_cache)
    37156    0.075    0.000    0.075    0.000 {method 'copy' of 'numpy.ndarray' objects}
      571    0.001    0.000    0.075    0.000 _logger.py:1971(debug)
     1232    0.075    0.000    0.075    0.000 {built-in method marshal.loads}
    84233    0.042    0.000    0.074    0.000 blocks.py:2183(check_ndim)
    51810    0.028    0.000    0.074    0.000 common.py:1279(is_bool_dtype)
     1140    0.002    0.000    0.072    0.000 generic.py:2108(__array_ufunc__)
   154696    0.044    0.000    0.072    0.000 ntpath.py:289(expanduser)
     7085    0.007    0.000    0.071    0.000 array_ops.py:185(arithmetic_op)
     9611    0.025    0.000    0.071    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
     1140    0.015    0.000    0.070    0.000 arraylike.py:245(array_ufunc)
     1903    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1140    0.001    0.000    0.070    0.000 series.py:5431(shift)
    19801    0.010    0.000    0.069    0.000 blocks.py:545(copy)
      859    0.002    0.000    0.069    0.000 _colorizer.py:356(prepare_format)
     1140    0.002    0.000    0.069    0.000 generic.py:10063(shift)
    19250    0.020    0.000    0.068    0.000 fromnumeric.py:69(_wrapreduction)
